Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,"[TIVI Toshiba 32"" TREO TƯỜNG Tặng kèm bộ bat treo tường] Tivi Toshiba 32"" Full Phụ Kiện Cần Thanh Lý",https://www.lazada.vn/products/tivi-toshiba-32-treo-tuong-tang-kem-bo-bat-treo-tuong-tivi-toshiba-32-full-phu-kien-can-thanh-ly-i2229654452.html,1.400.000 ₫,,,(1),Hồ Chí Minh,1.700.000 ₫,71.100 ₫,,92%,Không đủ thông tin,80%,['0'],['0'],['0'],['0'],['1']
tivi,43BU8000 - Smart Tivi Samsung 4K Crystal UHD 43 inch UA43BU8000 - Điều khiển giọng nói - Bảo hành chính hãng 24 tháng,https://www.lazada.vn/products/43bu8000-smart-tivi-samsung-4k-crystal-uhd-43-inch-ua43bu8000-dieu-khien-giong-noi-bao-hanh-chinh-hang-24-thang-i2540262643.html,9.989.000 ₫,,,,Hà Nội,14.900.000 ₫,,,100%,Không đủ thông tin,88%,['0'],['0'],['0'],['0'],['0']
tivi,Android Tivi iFFALCON 32 inch 32S52 DEMEN,https://www.lazada.vn/products/android-tivi-iffalcon-32-inch-32s52-demen-i2429296025.html,2.380.000 ₫,,,,Hà Nội,,2.689.300 ₫,,Không đủ thông tin,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,Tivi LED TCL 40S5400A 40 inch Android TV - Full HD,https://www.lazada.vn/products/tivi-led-tcl-40s5400a-40-inch-android-tv-full-hd-i2616412799.html,5.990.000 ₫,,,,Hà Nội,9.990.000 ₫,,,100%,Không đủ thông tin,88%,['0'],['0'],['0'],['0'],['0']
tivi,Smart Tivi Samsung 4K 43 inch UA43AU7002,https://www.lazada.vn/products/smart-tivi-samsung-4k-43-inch-ua43au7002-i621518004.html,6.500.000 ₫,,,(1),Hồ Chí Minh,12.300.000 ₫,74.700 ₫,,85%,50%,100%,['0'],['0'],['0'],['0'],['1']
tivi,Android Tivi TCL 32 inch L32S66A,https://www.lazada.vn/products/android-tivi-tcl-32-inch-l32s66a-i2306162148.html,3.490.000 ₫,,,,Hồ Chí Minh,5.990.000 ₫,131.600 ₫,,Không đủ thông tin,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,"[TIVI SIÊU MỎNG SAMSUNG 32"" TÍCH HỢP SẴN DVB-T2] Thanh lý",https://www.lazada.vn/products/tivi-sieu-mong-samsung-32-tich-hop-san-dvb-t2-thanh-ly-i2243978833.html,2.150.000 ₫,,,,Hồ Chí Minh,,71.100 ₫,,92%,Không đủ thông tin,80%,['0'],['0'],['0'],['0'],['0']
tivi,Smart Tivi Samsung 4K Crystal UHD 55 inch UA55AU7200 DEMEN,https://www.lazada.vn/products/smart-tivi-samsung-4k-crystal-uhd-55-inch-ua55au7200-demen-i2429189524.html,6.300.000 ₫,,,,Hà Nội,,2.689.300 ₫,,Không đủ thông tin,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,"[TIVI SONY 37"" + KÈM PHỤ KIỆN ĐẦY ĐỦ ] Thanh lý",https://www.lazada.vn/products/tivi-sony-37-kem-phu-kien-day-du-thanh-ly-i2307189326.html,2.200.000 ₫,,,,Hồ Chí Minh,,131.600 ₫,,92%,Không đủ thông tin,80%,['0'],['0'],['0'],['0'],['0']
tivi,Tivi Darling 32in smart HD964,https://www.lazada.vn/products/tivi-darling-32in-smart-hd964-i2155142368.html,2.990.000 ₫,,,,Bà Rịa Vũng Tàu,,81.800 ₫,,95%,63%,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,Bo xử lý Android Tivi Sony 4K 55 inch KD-55X7500H,https://www.lazada.vn/products/bo-xu-ly-android-tivi-sony-4k-55-inch-kd-55x7500h-i2241689296.html,1.000.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,"Tivi Xiaomi EA Màn Hình Full HD 65'', 75''",https://www.lazada.vn/products/tivi-xiaomi-ea-man-hinh-full-hd-65-75-i2350827750.html,13.590.000 ₫,,,(3),Hà Nội,,,,,,,['0'],['0'],['0'],['0'],['3']
tivi,"Thanh lý Tivi LG chính hãng 32inch siêu bền, ngoại hình đẹp 98%",https://www.lazada.vn/products/thanh-ly-tivi-lg-chinh-hang-32inch-sieu-ben-ngoai-hinh-dep-98-i2537492213.html,1.397.000 ₫,,,(4),Hà Nội,1.499.000 ₫,198.200 ₫,,91%,90%,96%,['0'],['0'],['0'],['0'],['4']
tivi,Tivi Asanzo LED 25” model 25T2 - Tích hợp đầu thu kỷ thuật số DVB - T2 + bảo hành tai nha 2 năm,https://www.lazada.vn/products/tivi-asanzo-led-25-model-25t2-tich-hop-dau-thu-ky-thuat-so-dvb-t2-bao-hanh-tai-nha-2-nam-i2053642926.html,2.000.000 ₫,,14 Đã bán,(3),Hồ Chí Minh,,27.300 ₫,,100%,Không đủ thông tin,50%,['0'],['0'],['0'],['0'],['3']
tivi,[Giao tại HCM] Android Tivi TCL 32 inch L32S5200 - Trợ lý ảo Google Assistant - Công nghệ HDR tăng cường độ tương phản - Công nghệ Dolby Audio,https://www.lazada.vn/products/giao-tai-hcm-android-tivi-tcl-32-inch-l32s5200-tro-ly-ao-google-assistant-cong-nghe-hdr-tang-cuong-do-tuong-phan-cong-nghe-dolby-audio-i2511567424.html,3.690.000 ₫,,,,Hồ Chí Minh,4.750.000 ₫,,,100%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
tivi,"Tivi trắng đen xưa. Decor vintage, không sử dụng được.",https://www.lazada.vn/products/tivi-trang-den-xua-decor-vintage-khong-su-dung-duoc-i2347338793.html,1.000.000 ₫,,,,Đồng Nai,,74.700 ₫,,Không đủ thông tin,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
tivi,"Thanh lý tivi TOSHIBA 32inch chính hãng,hình ảnh sắc nét,hoạt động bền bỉ,ngoại hình đẹp, đầy đủ phụ kiện",https://www.lazada.vn/products/thanh-ly-tivi-toshiba-32inch-chinh-hanghinh-anh-sac-nethoat-dong-ben-bingoai-hinh-dep-day-du-phu-kien-i2537697104.html,1.500.000 ₫,,,(1),Hà Nội,1.580.000 ₫,198.200 ₫,,91%,90%,96%,['0'],['0'],['0'],['0'],['1']
tivi,Google Tivi TCL 4K 43 inch 43P745 - Hàng chính hãng - Bảo hành 2 năm,https://www.lazada.vn/products/google-tivi-tcl-4k-43-inch-43p745-hang-chinh-hang-bao-hanh-2-nam-i2594176268.html,7.990.000 ₫,,20 Đã bán,(8),Bình Dương,,,30 Ngày Trả Hàng Miễn Phí,96%,100%,100%,['0'],['0'],['0'],['0'],['9']
