Type,Title,Link_item,Price_sale,Sale_off,Location,index_,Total_sold,Preview,temp_id
laptop,"Xác Laptop EMachines , Pentum R ram 4G, Giá bán 800.000",https://www.lazada.vn/products/xac-laptop-emachines-pentum-r-ram-4g-gia-ban-800000-i2292218921.html,800.000 ₫,,Tiền Giang,61,,,
laptop,Kjyty A5 lege máy tính xách tay verdikte sinh viên horizontale lijn zacht Leer máy tính xách tay siêu dikke Rooster boek tekening notepad kerstcadeau rther,https://www.lazada.vn/products/kjyty-a5-lege-may-tinh-xach-tay-verdikte-sinh-vien-horizontale-lijn-zacht-leer-may-tinh-xach-tay-sieu-dikke-rooster-boek-tekening-notepad-kerstcadeau-rther-i2549821210.html,400.000 ₫,1% Off,Nước ngoài,62,,,
laptop,KHO LAPTOP GIÁ RẺ CORE I3 CORE I5 BẢO HÀNH 1 NĂM,https://www.lazada.vn/products/kho-laptop-gia-re-core-i3-core-i5-bao-hanh-1-nam-i2634298791.html,2.190.000 ₫,,Hồ Chí Minh,63,,,
laptop,Laptop Mini 12.5inch Dell 7280 Core I7- 7600u/Ram 8Gb/SSD 256Gb Mỏng Nhẹ Đẹp Keng - Máy Tính Chạy 24/24,https://www.lazada.vn/products/laptop-mini-125inch-dell-7280-core-i7-7600uram-8gbssd-256gb-mong-nhe-dep-keng-may-tinh-chay-2424-i2172750806.html,4.404.510 ₫,32% Off,Hồ Chí Minh,64,,,
laptop,laptop Compad 6520 - thanh lý,https://www.lazada.vn/products/laptop-compad-6520-thanh-ly-i2469022738.html,900.000 ₫,,Hồ Chí Minh,65,,,
laptop,Thanh lý máy tính sách tay laptop cũ,https://www.lazada.vn/products/thanh-ly-may-tinh-sach-tay-laptop-cu-i2273762979.html,899.999 ₫,10% Off,Hưng Yên,66,,,
laptop,2024 máy tính laptop lenovo factorey Mới 14 Inch Intel Celeron J4105 12th gen laptop chính hãng Mini Siêu Nhỏ Window 10 / MS Office bảo hành 2 năm,https://www.lazada.vn/products/2024-may-tinh-laptop-lenovo-factorey-moi-14-inch-intel-celeron-j4105-12th-gen-laptop-chinh-hang-mini-sieu-nho-window-10-ms-office-bao-hanh-2-nam-i2407684614.html,6.552.881 ₫,"51% Off
Áp dụng voucher",Hồ Chí Minh,67,,,
laptop,asus factory laptop Mini 100% mới 14.1 Inch intel J4105 RAM 6GB SSD 256GB máy tính xách tay Windows 10 Pro & MS Office Notebook Lenovo factory Bảo hành 2 năm,https://www.lazada.vn/products/asus-factory-laptop-mini-100-moi-141-inch-intel-j4105-ram-6gb-ssd-256gb-may-tinh-xach-tay-windows-10-pro-ms-office-notebook-lenovo-factory-bao-hanh-2-nam-i2420326077.html,5.739.653 ₫,"56% Off
Áp dụng voucher",Hồ Chí Minh,68,,,
laptop,Laptop cũ văn phòng học tập Lenovo thinkpad X250 I5 5200U nguyên zin nhỏ gọn mạnh mẽ,https://www.lazada.vn/products/laptop-cu-van-phong-hoc-tap-lenovo-thinkpad-x250-i5-5200u-nguyen-zin-nho-gon-manh-me-i1759344039.html,2.800.000 ₫,,Hồ Chí Minh,69,,,
laptop,"Microsoft Surface Book 3 | i7-1065G7 Quad-Core | Ram 32GB | SSD 1TB | NVIDIA GTX 1660 Ti Max-Q Design 6GB | 15"" Có Cảm ứng",https://www.lazada.vn/products/microsoft-surface-book-3-i7-1065g7-quad-core-ram-32gb-ssd-1tb-nvidia-gtx-1660-ti-max-q-design-6gb-15-co-cam-ung-i2588788161.html,30.000.000 ₫,,Hà Nội,70,,,
