Type,Title,Link,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Return,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
dien thoai,"[MỞ BÁN] Điện thoại Xiaomi 14 5G 256GB - Mới 100%, Nguyên seal - Hàng Chính Hãng",https://www.lazada.vn/products/mo-ban-dien-thoai-xiaomi-14-5g-256gb-moi-100-nguyen-seal-hang-chinh-hang-i2618895780.html,21.390.000 ₫,7% Off,,,Hồ Chí Minh,22.900.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,99%,97%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S23 Ultra (8GB/256GB) - Hàng Chính Hãng,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-8gb256gb-hang-chinh-hang-i1560432848.html,21.290.000 ₫,31% Off,35 Đã bán,(3),Hồ Chí Minh,30.990.000 ₫,16.500 ₫,,97%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['1'],['0'],['3']
dien thoai,"[GIÁ SỐC CHỈ 6.6 - VOUCHER 5TR] Điện thoại Samsung Galaxy S24 - Điện thoại AI -Camera 50MP - Màn hình 6.2"" Dynamic AMOLED 2X FHD+",https://www.lazada.vn/products/gia-soc-chi-66-voucher-5tr-dien-thoai-samsung-galaxy-dien-thoai-ai-camera-50mp-man-hinh-62-dynamic-amoled-2x-fhd-i2533183500.html,20.989.000 ₫,9% Off,120 Đã bán,(29),Bắc Ninh,22.990.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,91%,99%,100%,['1'],['1'],['4'],['1'],['22']
dien thoai,"Điện thoại Samsung Galaxy S24 Plus - Hàng Chính Hãng, Mới 100%, Nguyên seal",https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-hang-chinh-hang-moi-100-nguyen-seal-i2618612364.html,20.890.000 ₫,23% Off,,,Hồ Chí Minh,26.990.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,99%,97%,['0'],['0'],['0'],['0'],['0']
dien thoai,"Điện thoại Samsung Galaxy S24 AI Camera 50MP, Màn hình 6.2"" Dynamic AMOLED 2X FHD+",https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ai-camera-50mp-man-hinh-62-dynamic-amoled-2x-fhd-i2575894849.html,20.610.000 ₫,10% Off,,,Hà Nội,22.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,94%,Không đủ thông tin,71%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 8GB/256GB - Độc quyền Online,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-8gb256gb-doc-quyen-online-i2534436616.html,20.090.000 ₫,13% Off,,(1),Hồ Chí Minh,22.990.000 ₫,,30 Ngày Trả Hàng Miễn Phí,91%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['1']
dien thoai,"Điện thoại máy chiếu 8849 Tank 3 Pro(máy chiếu 100 lumens,chống nước,chống va đập, 120Hz, RAM 32GB/36GB, ROM 512GB,Pin 23800mAh, sạc nhanh 120W, camera 5G,camera 200MP)",https://www.lazada.vn/products/dien-thoai-may-chieu-8849-tank-3-promay-chieu-100-lumenschong-nuocchong-va-dap-120hz-ram-32gb36gb-rom-512gbpin-23800mah-sac-nhanh-120w-camera-5gcamera-200mp-i2612291725.html,19.995.000 ₫,9% Off,,,Hồ Chí Minh,21.990.000 ₫,Miễn phí,,97%,100%,50%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S24 Plus 5G 12GB/256GB Chính Hãng - Bảo hành độc quyền tại Di Động Việt 02 năm,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-plus-5g-12gb256gb-chinh-hang-bao-hanh-doc-quyen-tai-di-dong-viet-02-nam-i2623388929.html,19.990.000 ₫,26% Off,,,Hồ Chí Minh,26.990.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,98%,82%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,"Điện thoại 8849 Tank 3 Pro(máy chiếu 100 lumens, 120Hz, RAM 32GB/36GB, ROM 512GB,Pin 23800mAh, sạc nhanh 120W, camera 5G,camera 200MP)",https://www.lazada.vn/products/dien-thoai-8849-tank-3-promay-chieu-100-lumens-120hz-ram-32gb36gb-rom-512gbpin-23800mah-sac-nhanh-120w-camera-5gcamera-200mp-i2609777846.html,19.990.000 ₫,5% Off,,,Hồ Chí Minh,20.990.000 ₫,19.600 ₫,,85%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,"Điện thoại Unihertz Tank 3 Pro (máy chiếu 100 lumens, 120Hz, RAM 32GB/36GB, ROM 512GB,Pin 23800mAh, sạc nhanh 120W, camera 5G,camera 200MP)",https://www.lazada.vn/products/dien-thoai-unihertz-tank-3-pro-may-chieu-100-lumens-120hz-ram-32gb36gb-rom-512gbpin-23800mah-sac-nhanh-120w-camera-5gcamera-200mp-i2627541965.html,19.890.000 ₫,1% Off,,,Hồ Chí Minh,19.990.000 ₫,Miễn phí,,97%,100%,50%,['0'],['0'],['0'],['0'],['0']
dien thoai,"Điện thoại máy chiếu Unihertz Tank 3 Pro (máy chiếu 100 lumens,chống nước,chống va đập, 120Hz, RAM 32GB/36GB, ROM 512GB,Pin 23800mAh, sạc nhanh 120W, camera 5G,camera 200MP)",https://www.lazada.vn/products/dien-thoai-may-chieu-unihertz-tank-3-pro-may-chieu-100-lumenschong-nuocchong-va-dap-120hz-ram-32gb36gb-rom-512gbpin-23800mah-sac-nhanh-120w-camera-5gcamera-200mp-i2624470355.html,19.890.000 ₫,,,,Hồ Chí Minh,19.900.000 ₫,19.600 ₫,,85%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại thông minh Xiaomi 14 (12+256GB),https://www.lazada.vn/products/dien-thoai-thong-minh-xiaomi-14-12256gb-i2581617853.html,19.640.000 ₫,15% Off,10 Đã bán,(4),Hồ Chí Minh,22.990.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,99%,100%,['0'],['0'],['0'],['0'],['4']
dien thoai,"Điện thoại XIAOMI 14 5G Ram 12GB | 256GB - Màn hình 6.36"" 120Hz | Chip Snapdragon 8 Gen 3 - Bảo hành 18 tháng",https://www.lazada.vn/products/dien-thoai-xiaomi-14-5g-ram-12gb-256gb-man-hinh-636-120hz-chip-snapdragon-8-gen-3-bao-hanh-18-thang-i2640573709.html,19.190.000 ₫,17% Off,,,Hồ Chí Minh,23.000.000 ₫,16.500 ₫,30 Ngày Trả Hàng Miễn Phí,98%,82%,100%,['0'],['0'],['0'],['0'],['1']
dien thoai,"Điện thoại OPPO Find N3 Flip 5G 12GB/256GB Hàng Chính Hãng, Mới 100%",https://www.lazada.vn/products/dien-thoai-oppo-find-n3-flip-5g-12gb256gb-hang-chinh-hang-moi-100-i2598495275.html,19.140.000 ₫,17% Off,,,Hồ Chí Minh,22.990.000 ₫,16.500 ₫,,100%,99%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Xiaomi 14 5G (12GB/256GB) - Chính hãng,https://www.lazada.vn/products/dien-thoai-xiaomi-14-5g-12gb256gb-chinh-hang-i2621150440.html,18.990.000 ₫,17% Off,,,Đà Nẵng,22.990.000 ₫,38.000 ₫,,97%,82%,86%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Xiaomi 14 12GB/256GB - Hàng Chính Hãng - Bảo Hành 24 Tháng,https://www.lazada.vn/products/dien-thoai-xiaomi-14-12gb256gb-hang-chinh-hang-bao-hanh-24-thang-i2611356063.html,18.990.000 ₫,17% Off,,,Đà Nẵng,22.990.000 ₫,38.000 ₫,,96%,28%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại OPPO Find X5 Pro - Hàng chính hãng,https://www.lazada.vn/products/dien-thoai-oppo-find-x5-pro-hang-chinh-hang-i2211957670.html,18.990.000 ₫,42% Off,8 Đã bán,(3),Hồ Chí Minh,32.990.000 ₫,18.300 ₫,30 Ngày Trả Hàng Miễn Phí,99%,100%,83%,['0'],['0'],['0'],['0'],['2']
dien thoai,Điện thoại Galaxy S23 Ultra 5G (mới 99% nobox - 12GB/256GB) Hàn 2 sim - BH lỗi 1 đổi 1 (ai cần màu gì nhắn shop),https://www.lazada.vn/products/dien-thoai-galaxy-ultra-5g-moi-99-nobox-12gb256gb-han-2-sim-bh-loi-1-doi-1-ai-can-mau-gi-nhan-shop-i2587805343.html,18.866.000 ₫,9% Off,,,Hà Nội,21.299.000 ₫,32.700 ₫,,97%,Không đủ thông tin,Không đủ thông tin,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S23 Ultra 5G Mỹ New Seal Fullbox 2 Sim 8/256 12/512G,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-5g-my-new-seal-fullbox-2-sim-8256-12512g-i2424408742.html,18.800.000 ₫,22% Off,9 Đã bán,(4),Hà Nội,24.000.000 ₫,Miễn phí,,88%,Không đủ thông tin,100%,['0'],['0'],['0'],['0'],['4']
dien thoai,Điện thoại Samsung Galaxy S23 Ultra 5G Quốc tế / New Seal Fullbox ( Snapdragon 8 Gen2/ 256GB/512 )- tại Bmobile,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-5g-quoc-te-new-seal-fullbox-snapdragon-8-gen2-256gb512-tai-bmobile-i2538590202.html,18.599.000 ₫,11% Off,,,Hà Nội,23.990.000 ₫,13.700 ₫,,100%,100%,100%,['0'],['0'],['0'],['0'],['0']
dien thoai,Điện thoại Samsung Galaxy S23 Ultra 12GB bộ nhớ khủng 1TB chính hãng SSVN bảo hành 1 đổi 1 trong 12,https://www.lazada.vn/products/dien-thoai-samsung-galaxy-ultra-12gb-bo-nho-khung-1tb-chinh-hang-ssvn-bao-hanh-1-doi-1-trong-12-i2640580451.html,17.990.000 ₫,,,,Hồ Chí Minh,,16.500 ₫,,Không đủ thông tin,Không đủ thông tin,60%,['0'],['0'],['0'],['0'],['0']
