Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
laptop,12.000.000 ₫,,,,Thái Nguyên,,43.900 ₫,,,,0,0,0,0,0
laptop,8.000.000 ₫,32% Off,74 Đã bán,(7),Hà Nội,11.800.000 ₫,84.600 ₫,98%,100%,100%,0,0,0,0,7
laptop,1.089.839 ₫,16% Off,,(3),Hưng Yên,1.399.999 ₫,80.200 ₫,86%,100%,88%,0,0,0,0,3
laptop,19.800.000 ₫,,,,Hồ Chí Minh,,74.700 ₫,92%,20%,90%,0,0,0,0,0
laptop,46.490.000 ₫,,38 Đã bán,,Hồ Chí Minh,,,96%,,83%,0,0,0,0,0
laptop,14.790.000 ₫,22% Off,,,Hồ Chí Minh,18.990.000 ₫,21.200 ₫,97%,99%,88%,0,0,0,0,0
laptop,8.890.000 ₫,29% Off,,,Hồ Chí Minh,12.490.000 ₫,20.100 ₫,97%,99%,88%,0,0,0,0,0
laptop,25.290.000 ₫,,5 Đã bán,,Hồ Chí Minh,,,96%,,83%,0,0,0,0,0
laptop,26.000.000 ₫,10% Off,8 Đã bán,,Hồ Chí Minh,28.790.000 ₫,Miễn phí,94%,86%,100%,0,0,0,0,0
laptop,7.850.000 ₫,43% Off,8 Đã bán,(4),Hồ Chí Minh,13.800.000 ₫,27.300 ₫,96%,100%,,0,0,0,0,4
laptop,1.700.000 ₫,,,,Hưng Yên,,70.000 ₫,91%,65%,100%,0,0,0,0,0
laptop,14.590.000 ₫,23% Off,,,Hồ Chí Minh,18.990.000 ₫,10.200 ₫,97%,98%,85%,0,0,0,0,0
laptop,2.622.600 ₫,42% Off,89 Đã bán,(36),Hồ Chí Minh,4.100.000 ₫,16.500 ₫,96%,80%,94%,1,1,1,5,28
laptop,7.131.799 ₫,52% Off,21 Đã bán,(4),Hải Phòng,16.099.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,5
laptop,3.400.000 ₫,,14 Đã bán,,Quảng Trị,,37.700 ₫,97%,,,0,0,0,0,0
laptop,8.269.999 ₫,44% Off,,,Hải Phòng,15.399.999 ₫,Miễn phí,100%,100%,80%,0,0,0,0,0
laptop,4.200.000 ₫,28% Off,5 Đã bán,(3),Hồ Chí Minh,5.800.000 ₫,16.500 ₫,96%,80%,94%,0,0,0,0,4
laptop,39.000 ₫,17% Off,312 Đã bán,(67),Hồ Chí Minh,,,,,,11,1,3,5,47
laptop,6.626.250 ₫,53% Off,158 Đã bán,(51),Hải Phòng,15.000.000 ₫,Miễn phí,96%,100%,96%,0,0,1,0,50
laptop,6.933.599 ₫,"50% Off
LazFlash Sale,kết thúc sau 9h",238 Đã bán,(65),Hải Phòng,13.999.999 ₫,Miễn phí,95%,100%,78%,0,0,0,3,62
laptop,3.750.000 ₫,50% Off,,,Hà Nội,7.500.000 ₫,Miễn phí,,,,0,0,0,0,0
laptop,6.519.809 ₫,8% Off,294 Đã bán,(118),Hồ Chí Minh,8.999.999 ₫,Miễn phí,96%,100%,,1,0,2,0,115
laptop,1.099.000 ₫,52% Off,7 Đã bán,(3),Bắc Ninh,2.299.000 ₫,Miễn phí,100%,100%,71%,0,0,0,0,3
laptop,1.239.000 ₫,38% Off,22 Đã bán,(10),Hồ Chí Minh,2.200.000 ₫,Miễn phí,91%,100%,100%,0,0,0,0,10
laptop,32.940.000 ₫,6% Off,9 Đã bán,,Hồ Chí Minh,39.990.000 ₫,19.600 ₫,97%,67%,100%,0,0,0,0,0
laptop,864.999 ₫,28% Off,15 Đã bán,(2),Hưng Yên,1.499.999 ₫,100.600 ₫,86%,100%,88%,1,0,0,0,1
laptop,687.608 ₫,31% Off,25 Đã bán,(14),Nước ngoài,999.999 ₫,Miễn phí,98%,100%,100%,0,0,0,0,14
laptop,74.000 ₫,50% Off,,(40),Nước ngoài,148.000 ₫,17.000 ₫,90%,71%,,1,0,1,1,38
laptop,465.000 ₫,6% Off,2.2K Đã bán,(789),Hồ Chí Minh,199.000 ₫,16.500 ₫,99%,100%,100%,3,1,2,12,771
laptop,6.520.000 ₫,,43 Đã bán,(14),Hưng Yên,,37.700 ₫,100%,98%,100%,0,0,0,2,12
