Type,Price_sale,Sale_off,Total_sold,Preview,Location,Price_original,Ship_price,Sale_rating,Ship_on_time,Chat_response,One_star,Two_star,Three_star,Four_star,Five_star
tivi,3.816.000 ₫,,,,Hồ Chí Minh,6.990.000 ₫,,97%,,78%,0,0,0,0,0
tivi,950.000 ₫,,,(1),Hà Nội,,198.200 ₫,86%,96%,75%,0,0,0,0,1
tivi,1.700.000 ₫,,8 Đã bán,(3),Hồ Chí Minh,,74.700 ₫,85%,100%,65%,0,0,0,0,3
tivi,16.490.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",23 Đã bán,(8),Hồ Chí Minh,17.990.000 ₫,Miễn phí,96%,100%,100%,0,0,0,1,7
tivi,4.690.000 ₫,,9 Đã bán,,Hà Nội,9.090.000 ₫,,100%,,88%,0,0,0,0,0
tivi,100.000 ₫,,13 Đã bán,(6),Bà Rịa Vũng Tàu,,28.700 ₫,97%,93%,95%,0,0,0,0,6
tivi,10.989.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",,(1),Bắc Ninh,13.900.000 ₫,565.500 ₫,,100%,94%,0,0,0,0,1
tivi,1.500.000 ₫,,,,Bình Dương,,585.800 ₫,,,,0,0,0,0,0
tivi,29.000 ₫,,35 Đã bán,(11),Hồ Chí Minh,89.000 ₫,18.300 ₫,96%,94%,100%,0,0,1,1,9
tivi,8.090.000 ₫,,,,Hồ Chí Minh,21.000.000 ₫,46.000 ₫,97%,93%,100%,0,0,0,0,0
tivi,7.451.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",78 Đã bán,(33),Hồ Chí Minh,14.690.000 ₫,79.000 ₫,99%,100%,100%,0,0,0,1,32
tivi,1.999.000 ₫,,8 Đã bán,(6),Hà Nội,2.500.000 ₫,198.200 ₫,91%,90%,96%,0,0,0,0,6
tivi,7.490.000 ₫,,10 Đã bán,(5),Hà Nội,14.790.000 ₫,,99%,,100%,0,0,0,0,5
tivi,6.590.000 ₫,Áp dụng voucher,,(1),Hà Nội,14.790.000 ₫,,,,100%,0,0,0,0,1
tivi,1.369.480 ₫,,25 Đã bán,(7),Hà Nội,1.400.000 ₫,198.200 ₫,91%,95%,93%,0,0,0,0,7
tivi,7.060.000 ₫,Áp dụng voucher,717 Đã bán,(516),Hồ Chí Minh,10.000.000 ₫,46.000 ₫,97%,93%,100%,3,2,4,4,503
tivi,1.435.853 ₫,,20 Đã bán,(9),Hà Nội,2.050.000 ₫,198.200 ₫,91%,95%,93%,1,0,0,1,7
tivi,480.000 ₫,,175 Đã bán,(46),Hà Nội,900.000 ₫,125.300 ₫,96%,100%,92%,0,0,0,2,44
tivi,389.000 ₫,,61 Đã bán,(16),Hồ Chí Minh,,38.000 ₫,100%,88%,100%,0,0,0,1,15
tivi,4.690.000 ₫,,16 Đã bán,,Hà Nội,7.900.000 ₫,,100%,,88%,0,0,0,0,1
tivi,31.463 ₫,,1.9K Đã bán,(461),Nước ngoài,39.014 ₫,17.000 ₫,93%,96%,100%,7,4,4,15,431
tivi,4.048.000 ₫,,388 Đã bán,(107),Hồ Chí Minh,4.990.000 ₫,,97%,,78%,2,3,1,4,98
tivi,11.190.000 ₫,"LazFlash Sale,kết thúc sau 1 ngày",376 Đã bán,(171),Hồ Chí Minh,20.490.000 ₫,Miễn phí,96%,100%,100%,3,0,2,0,167
tivi,3.565.542 ₫,,31 Đã bán,(17),Hà Nội,3.700.000 ₫,206.800 ₫,91%,95%,93%,1,0,1,0,15
tivi,3.003.074 ₫,,21 Đã bán,(17),Hà Nội,3.070.000 ₫,198.200 ₫,91%,95%,93%,1,0,1,1,14
